experiment,n_seeds,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,secondary_balanced_accuracy_mean,latency_batch_mean,macs_mean,parameter_count_mean,serialized_size_bytes_mean,spike_density_mean
wavelet_cnn,1,0.9892638036809815,,1.0,,0.8496932515337423,0.10022769999995944,2271219712.0,135777.0,549771.0,
mel_cnn,5,0.9658486707566463,0.04492785988718294,1.0,0.0,0.8066871165644173,0.02295260627011885,502927360.0,135777.0,549771.0,
fft_xgboost,1,0.9212678936605316,,0.9973653505965598,,0.8745398773006134,0.004648714599898085,,0.0,1347462.0,
fft_mlp,1,0.9166666666666667,,1.0,,0.9,0.00019041665000258946,,35969.0,596516.0,
filterbank_ann,2,0.9069529652351739,0.013737248305260151,0.9635519255941553,0.0024070864536608863,0.794478527607362,0.06970172187502613,2172653568.0,139457.0,561221.0,
filterbank_snn,1,0.8680981595092024,,0.9144345331443077,,0.5116564417177915,0.07405007084998942,2197823488.0,24897.0,102917.0,0.20104217529296875
raw_cnn,5,0.8662576687116565,0.07290754227801062,0.8356800531948261,0.06490912410600604,0.6785276073619632,0.027157874979966433,283119616.0,111297.0,449669.0,
adaptive_wavelet_snn,1,0.7198364008179959,,0.7631408366475549,,0.5030674846625767,0.07966689374989074,33562624.0,16833.0,73223.0,0.0836334228515625
adaptive_wavelet_ann,1,0.495398773006135,,0.8337494406597497,,0.5,0.0726172749997204,8392704.0,131393.0,531527.0,
