experiment,seed,balanced_accuracy,auroc,secondary_balanced_accuracy,latency_batch,macs,parameter_count,serialized_size_bytes,spike_density
adaptive_wavelet_ann,seed_13,0.495398773006135,0.8337494406597497,0.5,0.0726172749997204,8392704.0,131393.0,531527.0,
adaptive_wavelet_snn,seed_13,0.7198364008179959,0.7631408366475549,0.5030674846625767,0.07966689374989074,33562624.0,16833.0,73223.0,0.0836334228515625
fft_mlp,seed_13,0.9166666666666667,1.0,0.9,0.00019041665000258946,,35969.0,596516.0,
fft_xgboost,seed_13,0.9212678936605316,0.9973653505965598,0.8745398773006134,0.004648714599898085,,0.0,1347462.0,
filterbank_ann,seed_13,0.897239263803681,0.9652539927484411,0.796319018404908,0.07108530625009735,2172653568.0,139457.0,561221.0,
filterbank_ann,seed_21,0.9166666666666667,0.9618498584398694,0.792638036809816,0.0683181374999549,2172653568.0,139457.0,561221.0,
filterbank_snn,seed_13,0.8680981595092024,0.9144345331443077,0.5116564417177915,0.07405007084998942,2197823488.0,24897.0,102917.0,0.20104217529296875
mel_cnn,seed_13,0.9166666666666667,1.0,0.805521472392638,0.024028806250134947,502927360.0,135777.0,549771.0,
mel_cnn,seed_21,0.9166666666666667,1.0,0.8150306748466258,0.02303305420027755,502927360.0,135777.0,549771.0,
mel_cnn,seed_34,1.0,1.0,0.7993865030674847,0.022478414600118412,502927360.0,135777.0,549771.0,
mel_cnn,seed_55,0.9959100204498977,1.0,0.856441717791411,0.022658045850039343,502927360.0,135777.0,549771.0,
mel_cnn,seed_89,1.0,1.0,0.7570552147239265,0.022564710450023995,502927360.0,135777.0,549771.0,
raw_cnn,seed_13,0.9166666666666667,0.8333458792828736,0.6809815950920246,0.026341743750163005,283119616.0,111297.0,449669.0,
raw_cnn,seed_21,0.9166666666666667,0.8333437882912835,0.6460122699386502,0.026340904149765264,283119616.0,111297.0,449669.0,
raw_cnn,seed_34,0.822597137014315,0.8502536372798709,0.701840490797546,0.025936045799971906,283119616.0,111297.0,449669.0,
raw_cnn,seed_55,0.9171779141104295,0.9217791411042945,0.8518404907975461,0.02870066039977246,283119616.0,111297.0,449669.0,
raw_cnn,seed_89,0.7581799591002045,0.739677820015808,0.5119631901840491,0.028470020800159545,283119616.0,111297.0,449669.0,
wavelet_cnn,seed_13,0.9892638036809815,1.0,0.8496932515337423,0.10022769999995944,2271219712.0,135777.0,549771.0,
